Index,Initial x,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
2168,0.9630815866690703,-1.0024699308952938,2.9296143043355345,18.79525603523774,9162.672633595183,(18325.316618294317+0j),(1.0002279300427839+0j),(0.9997721127155706+0j),(5.456923121487907e-05+0j),(-3.767300967457129+0j),(-0.26544202564387065+0j)
2169,0.9632171391089708,-1.0054253457408484,2.929059065478673,18.814360709914553,9127.957469565306,(18255.782521199864+0j),(1.0002324148911017+0j),(0.9997676338140496+0j),(5.477676721954076e-05+0j),(-3.779240413602147+0j),(-0.2646034362913737+0j)
2170,0.9633527396327943,-1.0084048787972093,2.9284995260345,18.833450392495884,9093.789134879045,(18187.53374360792+0j),(1.0002284913345811+0j),(0.9997715573347538+0j),(5.498258141854226e-05+0j),(-3.7894952639586803+0j),(-0.26388738614482604+0j)
2171,0.9634883939033911,-1.0114090090871475,2.927935579681485,18.852524647303866,9060.285882940036,(18120.571710694174+0j),(1.0001953867128084+0j),(0.999804657353612+0j),(5.518604132407249e-05+0j),(-3.798051537998272+0j),(-0.26329289900714503+0j)
2172,0.9636241075796896,-1.0144382267312932,2.9273671173094518,18.871583023127894,9027.448964507868,(18054.897873629103+0j),(1.0001911992751422+0j),(0.9998088362641421+0j),(5.538681619205133e-05+0j),(-3.804895245231492+0j),(-0.2628193249919137+0j)
2173,0.9637598863159816,-1.0174930332663639,2.9267940269214305,18.8906250525542,8995.273192082193,(17990.514106390146+0j),(1.0002049884631177+0j),(0.999795044117623+0j),(5.558474888621964e-05+0j),(-3.810012376956017+0j),(-0.2624663389711888+0j)
2174,0.9638957357602778,-1.020573941955454,2.926216193532251,18.90965025127358,8963.711094071223,(17927.42213236198+0j),(1.0001507569456578+0j),(0.999849274827306+0j),(5.578061624331585e-05+0j),(-3.813388940008608+0j),(-0.2622339383013754+0j)
2175,0.9640316615538065,-1.0236814781336763,2.92563349906228,18.92865811733789,8932.838601664032,(17865.623888914175+0j),(1.0001855248236535+0j),(0.999814509512974+0j),(5.5973249250620185e-05+0j),(-3.8150109449510605+0j),(-0.2621224458970894+0j)
2176,0.9641676693293064,-1.026816179541337,2.925045822226707,18.94764813039421,8902.572500692853,(17805.1214730148+0j),(1.0001824606444265+0j),(0.9998175732594595+0j),(5.6163541665991334e-05+0j),(-3.8148644138092225+0j),(-0.26213251417175004+0j)
2177,0.9643037647097926,-1.029978596678653,2.924453038421583,18.966619750872916,8872.958589705278,(17745.917123059568+0j),(1.0001941051095662+0j),(0.99980592625054+0j),(5.635115348526476e-05+0j),(-3.812935381111372+0j),(-0.262265131733155+0j)
