,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
24,0.9880161391409138,-0.002859200969575,-2.914270159815473,4.301877969146398,2.9434493679879914,1.0000000000339,(0.014026641572197966+0.999901624270757j),(0.014026641572197966-0.999901624270757j),(0.9996746144367865+0.025828927626587554j),(0.9996746144367865-0.025828927626587554j),(0.9997238720807263+0.023150577885520964j),(0.9997238720807263-0.023150577885520964j)
25,0.9880161462344648,-0.0028590033917338,-2.9143702097867767,4.301877959547934,2.943449368102115,1.000000000336353,(0.013967638748761169+0.9999024754350841j),(0.013967638748761169-0.9999024754350841j),(0.9995178425626823+0.03187407871513643j),(0.9995178425626823-0.03187407871513643j),(0.999589477577413+0.027746015497995012j),(0.999589477577413-0.027746015497995012j)
26,0.9880161533110275,-0.0028588059350124,-2.914470209670372,4.301877990803683,2.943449364581758,1.000008322428942,(0.014133127569596244+0.9999001587990042j),(0.014133127569596244-0.9999001587990042j),(0.9991416425258639+0.04152634047121021j),(0.9991416425258639-0.04152634047121021j),(1.004080890557585+0j),(0.9959285029296265+0j)
27,0.9880161603923936,-0.0028586084974765,-2.914570209475228,4.301877993430038,2.94344936365374,1.0009851863097474,(0.014237178861751777+0.9998986020626938j),(0.014237178861751777-0.9998986020626938j),(1.0453849972503317+0j),(0.9565862117574934+0j),(0.9984931239087574+0j),(1.0015076905115843+0j)
28,0.988016167471012,-0.0028584110802801,-2.9146702092802124,4.301877996204655,2.943449362739111,1.002349941047822,(0.014314996193460317+0.9998975634116269j),(0.014314996193460317-0.9998975634116269j),(1.0709458907720764+0j),(0.9337547454074467+0j),(0.9999986580495634+0.001633108856735753j),(0.9999986580495634-0.001633108856735753j)
29,0.9880161745791886,-0.002858213341758,-2.914770380401347,4.30187792221622,2.943449368729336,1.0007553548298995,(0.0144672527089213+0.9998953955365886j),(0.0144672527089213-0.9998953955365886j),(0.9989848848924945+0.04510230374088708j),(0.9989848848924945-0.04510230374088708j),(0.9618801671040784+0j),(1.0396270196968542+0j)
30,0.9880161816599542,-0.0028580156656874,-2.914870532268599,4.301877937127767,2.94344936677917,1.0007119627261836,(0.01444593870306167+0.9998956319706598j),(0.01444593870306167-0.9998956319706598j),(0.9989580466239718+0.04558742960147582j),(0.9989580466239718-0.04558742960147582j),(0.9629740428826127+0j),(1.0384536153568091+0j)
31,0.988016188726666,-0.0028578181620234,-2.9149706076259623,4.301877974645732,2.943449362830197,1.000499307057619,(0.014385269548419403+0.9998965094015232j),(0.014385269548419403-0.9998965094015232j),(0.9688945064289837+0j),(0.9995985923852296+0.028467346694610367j),(0.9995985923852296-0.028467346694610367j),(1.0320958950948433+0j)
32,0.9880161957928688,-0.0028576207507478,-2.9150706460537936,4.301877993834451,2.9434493605506447,1.000355254276636,(0.01433244471144327+0.9998972573957476j),(0.01433244471144327-0.9998972573957476j),(0.9737004094818751+0j),(0.9998145406849088+0.019153404472102734j),(0.9998145406849088-0.019153404472102734j),(1.0270129878425878+0j)
33,0.988016202857652,-0.0028574233905048,-2.9151706687116903,4.301878003867398,2.943449359118309,1.000271783219297,(0.014299262740512853+0.9998977775307201j),(0.014299262740512853-0.9998977775307201j),(0.976955687819071+0j),(0.9999167338559527+0.013733646931311051j),(0.9999167338559527-0.013733646931311051j),(1.0235656792988816+0j)
