Index,Initial x,Initial z,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig5
195,1.1554228771384474,-0.13981376346244695,-0.2346949152616976,12.766275444533699,3.090956516173547,941470214.5073643,(1882940429.0147285+0j),(1.0222825538930826e-07+0j),(1.0002247381928606+0.0005277607804950363j),(1.0002247381928606-0.0005277607804950363j),(0.9997750005971141+0.0005283806450437767j),(0.9997750005971141-0.0005283806450437767j)
196,1.1554507695337501,-0.13977701147607263,-0.23477307075459813,12.766359421309328,3.090941761617702,941319396.1219832,(1882638792.2439663+0j),(2.89783547399669e-07+0j),(0.9999998886692221+0.0011137590980239602j),(0.9999998886692221-0.0011137590980239602j),(1.0005441129552644+0j),(0.9994555783095443+0j)
197,1.1554786305151483,-0.1397402928253677,-0.23485116125013442,12.766443739300597,3.090927001127614,941167997.2843984,(1882335994.5687969+0j),(2.1440219539149183e-07+0j),(0.9999997191233472+0.0008904161841530749j),(0.9999997191233472-0.0008904161841530749j),(1.0003318333082993+0j),(0.9996681598275008+0j)
198,1.1555064600601868,-0.13970360756651173,-0.23492918662227663,12.76652839742502,3.090912234772326,941016020.2554319,(1882032040.5108638+0j),(-6.441482159575228e-08+0j),(0.9999996393832371+0.0011899259748276692j),(0.9999996393832371-0.0011899259748276692j),(1.0005851576574074+0j),(0.9994149366960509+0j)
199,1.1555342581472163,-0.1396669557546294,-0.23500714674715661,12.766613394600784,3.0908974626205583,940863467.3697945,(1881726934.739589+0j),(-1.8048401748636645e-07+0j),(1.0003499754771963+0.0005710458009707812j),(1.0003499754771963-0.0005710458009707812j),(0.9996497232152508+0.0005712796599222557j),(0.9996497232152508-0.0005712796599222557j)
200,1.1555620247554024,-0.1396303374437792,-0.23508504150310913,12.766698729746542,3.0908826847406967,940710340.9487226,(1881420681.8974452+0j),(4.675144610697707e-08+0j),(0.9999999352500795+0.0010291406869628722j),(0.9999999352500795-0.0010291406869628722j),(1.0004738216624203+0j),(0.9995257268459528+0j)
201,1.1555897598647207,-0.1395937526869632,-0.23516287077068831,12.76678440178137,3.0908679012007774,940556643.3474085,(1881113286.694817+0j),(-4.896862384927215e-07+0j),(0.9999994842376597+0.00098749225449655j),(0.9999994842376597-0.00098749225449655j),(1.0004375741770586+0j),(0.9995627574575496+0j)
202,1.1556174634559309,-0.13955720153614748,-0.23524063443252974,12.766870409625318,3.090853112068532,940402376.8577662,(1880804753.7155323+0j),(-9.899163871361458e-08+0j),(0.9999994515264023+0.0011659518110594363j),(0.9999994515264023-0.0011659518110594363j),(1.0005627151704521+0j),(0.999437848705293+0j)
203,1.1556451355106023,-0.13952068404223855,-0.23531833237351404,12.766956752198725,3.090838317411327,940247543.7205305,(1880495087.441061+0j),(-1.8887502067305955e-07+0j),(0.9999990900800577+0.0009805669258545837j),(0.9999990900800577-0.0009805669258545837j),(1.000420874318367+0j),(0.9995803215921654+0j)
204,1.155672776011086,-0.13948420025511624,-0.23539596448062736,12.76704342842281,3.090823517296206,940092146.4333762,(1880184292.8667524+0j),(-1.0203768354224485e-07+0j),(1.0003984727479618+0.0006036632206942462j),(1.0003984727479618-0.0006036632206942462j),(0.9996011529189375+0.0006031562176700986j),(0.9996011529189375-0.0006031562176700986j)
